 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 1.21000000E+01 -1.35926770E-04 -1.30020481E-04 -1.29821043E-04 -1.40974399E-04
 1.22000000E+01 -1.42034163E-04 -1.35865048E-04 -1.35658194E-04 -1.47310465E-04
 1.23000000E+01 -1.48226783E-04 -1.41791012E-04 -1.41576444E-04 -1.53733998E-04
 1.24000000E+01 -1.54503026E-04 -1.47796822E-04 -1.47574241E-04 -1.60243390E-04
 1.25000000E+01 -1.60861233E-04 -1.53880875E-04 -1.53649980E-04 -1.66836988E-04
 1.26000000E+01 -1.67299686E-04 -1.60041512E-04 -1.59802005E-04 -1.73513088E-04
 1.27000000E+01 -1.73816598E-04 -1.66277010E-04 -1.66028594E-04 -1.80269928E-04
 1.28000000E+01 -1.80410117E-04 -1.72585587E-04 -1.72327970E-04 -1.87105686E-04
 1.29000000E+01 -1.87078328E-04 -1.78965401E-04 -1.78698295E-04 -1.94018471E-04
 1.30000000E+01 -1.93819249E-04 -1.85414549E-04 -1.85137671E-04 -2.01006318E-04
 1.31000000E+01 -2.00630830E-04 -1.91931062E-04 -1.91644140E-04 -2.08067182E-04
 1.32000000E+01 -2.07510946E-04 -1.98512903E-04 -1.98215669E-04 -2.15198932E-04
 1.33000000E+01 -2.14457389E-04 -2.05157959E-04 -2.04850156E-04 -2.22399345E-04
 1.34000000E+01 -2.21467861E-04 -2.11864031E-04 -2.11545410E-04 -2.29666099E-04
 1.35000000E+01 -2.28539961E-04 -2.18628825E-04 -2.18299149E-04 -2.36996770E-04
 1.36000000E+01 -2.35671170E-04 -2.25449937E-04 -2.25108981E-04 -2.44388821E-04
 1.37000000E+01 -2.42858835E-04 -2.32324842E-04 -2.31972395E-04 -2.51839603E-04
 1.38000000E+01 -2.50100166E-04 -2.39250885E-04 -2.38886751E-04 -2.59346343E-04
 1.39000000E+01 -2.57392245E-04 -2.46225288E-04 -2.45849289E-04 -2.66906144E-04
 1.40000000E+01 -2.64732026E-04 -2.53245157E-04 -2.52857130E-04 -2.74515975E-04
 1.41000000E+01 -2.72116353E-04 -2.60307487E-04 -2.59907288E-04 -2.82172671E-04
 1.42000000E+01 -2.79541953E-04 -2.67409160E-04 -2.66996666E-04 -2.89872925E-04
 1.43000000E+01 -2.87005437E-04 -2.74546951E-04 -2.74122055E-04 -2.97613288E-04
